name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
,"Office No. 11, 1st Floor, Bldg. No. 22, Amar Jyoti Building, C.H.S. LTD, Gharkul Society, Manish Nagar, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053",kwick.co.in,098332 20013,,,19.1281695,72.8076987
,"3/A, Neminath CHS, Kambliwadi kambli wadiNehru Road, behind Rama Krishna Hotel, Vile Parle East, Mumbai, Maharashtra 400057",,098330 89828,,,19.0993601,72.8266469
,"Shop no. 4, Habib compound, Next Habibiya Masjid, opp. Railway Station, Jogeshwari West, Mumbai, Maharashtra 400102",,099303 03044,,,19.1389121,72.8303912
,"G4/G5 , Kalamandir, Off, Nehru Rd, behind dubashi playground, near petrol pump, Gujarati Society, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",dreamhouseproperties.in,095944 95942,,,19.0982889,72.8328933
,"Unit No. 01, CD Barfiwala Road, opp. Navnit Motors, Juhu Lane, Andheri West, Mumbai, Maharashtra 400058",,088987 88718,,,19.116415,72.8219014
,"Shop No - 01, Teli Gali, near Hotel Imperial Palace, Andheri East, Mumbai, Maharashtra 400069",,,,,19.118543,72.8326786
,"Prime Mall, Swami Vivekananda Rd, Navpada, Irla, Vile Parle, Mumbai, Maharashtra 400056",,098210 25555,,,19.1080765,72.8227459
,"G, Mantri smruti, 1, Chittaranjan Rd, near Central bank of India & Bjp office, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",,099870 04969,,,19.1080765,72.8227459
,"Shop no 7, Sutari House, AB Nair Rd, near Juhu, Juhu Tara, Juhu, Mumbai, Maharashtra 400049",,098203 34489,,,19.1111169,72.808061
,"Subhash Rd, opposite varma tailors, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",wa.link,088792 92960,,,19.1043722,72.8303563
,"Shop No, 1, Post Office, Roop Kamal Studio, Andheri - Kurla Rd, near Indiana Building, Chakala, Andheri East, Mumbai, Maharashtra 400093",,096993 78389,,,19.1043722,72.8303563
,"211, Anjani Complex, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400053",uniexindiarealtor.com,098677 70131,,,19.1043722,72.8303563
,"RETIWALA PREMISES, 44, Swami Vivekananda Rd, opp. KHIRA NAGAR, Bhim Wada, Santacruz West, Mumbai, Maharashtra 400054",,070213 73235,,,19.087559,72.8204116
,"Parimal Apartment, Juhu Scheme, Vile Parle West, Mumbai, Maharashtra 400058",,,,,19.1154812,72.8189098
,"Shop no 7A, Hubtown Premier Residences, Above Chayos Cafe, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053",,098196 92697,,,19.1298471,72.8061357
,"G/2, shri vishwkarma chs, ram mandir road, vile parle(E, Mumbai, Maharashtra 400057",,098202 42464,,,19.1008698,72.8288617
,"Ltd, BLOCK-2, 37,1468, Ground Floor, Shayadri Chs, next to The Club, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053",,098708 47778,,,19.1215746,72.8121343
,"Yadav Nagar, Andheri West, Mumbai, Maharashtra 400058",,098190 87918,,,19.1215746,72.8121343
,"ROYAL SANDS, behind CITY MALL, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",abrealestate.in,084258 71567,,,19.1395993,72.8114831
,"Atlanta estate, 508, next to Virwani Industrial Estate, Goregaon, Mumbai, Maharashtra 400063",,080801 10021,,,19.1036274,72.8132435
,"1, Shop 17, Kevani Pada, off, Ceasar Rd, next to st blais church, Amboli, Andheri West, Mumbai, Maharashtra 400058",dreampalace.online,,,,19.12969,72.8291271
,"Shop No. 5B, Ground Floor, 'D' Wing, Crystal Plaza, New Link Road, KL Walawalkar Marg, opp. Infiniti Mall, Andheri West, Mumbai, Maharashtra 400053",mumbairealtors.co.in,098200 32390,,,19.1408237,72.814595
,"JIVAN VIKAS, CO. OP. SOC, CHHEDA MODAK ESTATE CONSULTANT OFFICE NO-B-3, GROUND FLOOR, PANOM PARK, Jeevan Vikas Kendra Marg, near Hanuman Mandir, Vile Parle East, Mumbai, Maharashtra 400057",,098213 30817,,,19.1112742,72.8299003
,"Shop No 4, Skydeck Building, Sundervan Complex Rd, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",,098200 70344,,,19.1363988,72.809717
,"Shop No. 1, Mahalaxmi Tower, Ceasar Rd, opp. IDBI Bank And Citizen Credit Bank, Dhakoji Sethpada, Amboli, Andheri West, Mumbai, Maharashtra 400058",,077380 69069,,,19.1279119,72.8244999
,"shop no 3 lily annex s v road near mina hotel jogeshwari wast, Mumbai, Maharashtra 400102",,093200 02066,,,19.1279119,72.8244999
,"first floor, jyoti welfare Amar industrial estate, C1-1A, MIDC, Cross Rd B, J B Nagar, Andheri East, Mumbai, Maharashtra 400059",,088988 51003,,,19.1151097,72.8506404
,"Rushabh Apartments, 703-RUSHABH APT A/WING 7TH FLOOR BEHIND VITTAL DAHM SOCIETY, 503/A, Veera Desai Rd, near RAM GOPAL VERMA COMPANY, Prathmesh Complex, Andheri West, Mumbai, Maharashtra 400053",,077381 26168,,,19.1337366,72.8205086
,"Shop No. 18, Nimbus Centre, Raviraj Complex, Lokhandwala, Near Empressa Hotel, behind Sab T V - Kalinga Lane, off New Link Road, Andheri West, Mumbai, Maharashtra 400053",andheribroker.com,091378 82148,,,19.136515,72.81116
,"A-04, Payal Co-operative Housing Society Limited, Off, Yari Rd, near Amarnath Towers, POPCO Colony, Versova, Andheri West, Mumbai, Maharashtra 400061",,,,,19.1362331,72.7988349
,"Heena Arcade, Gr.Floor, Shop No:30, 31, Swami Vivekananda Rd, near Dewan Centre, Jogeshwari West, Mumbai, Maharashtra 400102",jannathomes.com,099678 67100,,,19.1365744,72.8296233
,"1st floor, CD Barfiwala Road, near New India colony, Junaid Nagar, Azad Nagar, C.H.S, Juhu, Andheri, Mumbai, Maharashtra 400058",,,,,19.1135723,72.8214735
,"BINDRA COMPLEX, Mahakali Caves Rd, Sher E Punjab Colony, Andheri East, Mumbai, Maharashtra 400093",legallistings.in,083560 69062,,,19.128324,72.8486288
,"Versova Telephone Exchange, 48/9 Sv patel nagar, Mhada Rd, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053",,,,,19.1353264,72.8048994
,"near Oriental Aster Hotel, J B Nagar, Andheri East, Mumbai, Maharashtra 400059",,,,,19.1080504,72.8424619
,"Shop no. 17, Nirmala Apts, Corner of J.P. Road & Ceaser road, Andheri West, Mumbai, Maharashtra 400058",rnsestate.com,098202 00024,,,19.1227346,72.8121769
,"ROYAL SANDS, CLUSTER_MUMBAI SUBURBAN_692, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",galaxyadvisorymumbai.com,,,,19.1395993,72.8114831
,"4,Excellency CHS Limited,Four Bunglow Mhada, Mhada Rd, near teliphone exchange mahada, SV Patel Nagar, Andheri West, Mumbai, Maharashtra 400061",ashokestate.com,093231 06136,,,19.1395993,72.8114831
,,,093723 37052,,,23.0498643,80.6004508
,"Shop no 1, below Jogeshwari - Vikhroli Link Road, opp. markaz hote, Momin Nagar, Jogeshwari West, Mumbai, Maharashtra 400102",,,,,19.1396594,72.8273723
,"Spaces, INSPIRE HUB, 1st FLOOR, ADANI WESTERN HEIGHTS, Andheri West, Mumbai, Maharashtra 400058",,098922 32060,,,19.1294654,72.8099702
,"Corevestor Realty Pvt. Ltd.® Giving Directions To Your Future Chalet®168, Citi Mall, New Link Rd, Lokhandwala, Andheri West, Mumbai, Maharashtra 400053",,,,,19.1294654,72.8099702
,"Room no.2, Jamila Cottage, Kevni Pada Rd, opp. Vahatuk Nagar, near Mallika Tower, Amboli, Jogeshwari West, Mumbai, Maharashtra 400058",,,,,19.129184,72.826594
,"FS Real Estate, Okaz Shopping Centre, A/31, Millat Nagar Rd, Andheri West, Mumbai, Maharashtra 400053",,091529 47571,,,19.150996,72.8087622
,"Prarthana Samaj Rd, Satsang CHSL, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",,,,,19.1018641,72.831825
,"4RMC+RM8, Vidhneswar Temple Marg, Swastik Cooperative Housing Society, SV Patel Nagar, Andheri West, Mumbai, Maharashtra 400053",,,,,19.134537,72.8036776
,"A Wing,613,6th Floor Crystal Plaza,Opp.Infinity Mall, New Link Rd, Mumbai, Maharashtra 400053",thesteadadvisory.com,099309 11288,,,19.1407061,72.8139158
,"Plot No. 22 D4, Mhada Rd, Swastik Cooperative Housing Society, SV Patel Nagar, Andheri West, Mumbai, Maharashtra 400053",,096534 15698,,,19.1345412,72.8028909
,"Shop No.4 ,Bldg.16 B, P.M.G.P.Colony, Mahakali Caves, 400093, Indira Nagar, Andheri East, Mumbai, Maharashtra 400093",,080825 09280,,,19.134147,72.8506956
,"Shop. 2, Swaroop Apartment, Near Holi Spirit Hospital, Mahakali Caves Rd, Sunder Nagar, Andheri East, Mumbai, Maharashtra 400093",,093226 81841,,,19.134147,72.8506956
,"Shop/A, Mangal Bhavan, Old Nagardas Road, Cross, Road, opposite Sarvodaya Hotel, Andheri East, Mumbai, Maharashtra 400069",,093224 66877,,,19.1236715,72.8325739
,"G-2 PLOT NO 148 AJEET CHS, near TOLANI COLLEGE, Sher E Punjab Colony, Andheri East, Mumbai, Maharashtra 400093",,098670 34445,,,19.1249605,72.842923
,"J/18, M. R.Society, Relief Road Opposit Raheja College Of Arts & Commerce, Santacruz West, Mumbai, Maharashtra 400049",,093248 90541,,,19.0862493,72.8136454
,"9, Isha-Prasad Housing Society, Old Police Quarters Ln, Andheri East, Mumbai, Maharashtra 400069",,091750 08075,,,19.1175909,72.831766
,"Shop No.1, New Maharashtra Tenament CHS, Kadam Nagar, Opp.Sona Studio, Behram Baug, Off New Link Road, Jogeshwari West, Mumbai, Maharashtra 400102",,095943 14955,,,19.1444663,72.8179427
,"Office no 2, Kavita Apartment, Yari Rd, near Mandir Masjid, opp. Sai Ganesh Mandir, Yagna Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061",justcallrealestate.com,,,,19.1401454,72.791045
,"Shop no.3, Manthan Plaza, Market, Paluskar Wadi, P and T Colony, Vakola, Santacruz East, Mumbai, Maharashtra 400055",,080806 73190,,,19.0818525,72.8366159
,"Gokul Valley Society, 601, A-Wing Tarun Bharat, Near, Plot No. 57, Chakala, Andheri East, Mumbai, Maharashtra 400099",,084529 71799,,,19.108747,72.8450622
,"18, Yakshini Niketan, Azad Rd, Azad Nagar, Andheri East, Mumbai, Maharashtra 400069",,099206 81053,,,19.1200093,72.8340499
,"Lion Sole Marg, Highland Park, Andheri West, Mumbai, Maharashtra 400102",,093241 64980,,,19.1448248,72.8109386
,"Office no 101, 1st floor, commercial building, Lake Primrose, Chandivali, Andheri East, Mumbai, Maharashtra 400072",ground-realty.com,098200 82921,,,19.1142692,72.8813363
,"Shop No D/4 Sv Patil Nagar, 57-D/4, Sardar Vallabhbhai Patel Nagar Rd, SV Patel Nagar, Andheri West, Mumbai, Maharashtra 400061",,093216 95934,,,19.137048,72.8041535
,,,090824 13940,,,19.1147418,72.8504661
,"4V24+CX6, Chakala Rd, Navpada, Vile Parle, Mumbai, Maharashtra 400099",,,,,19.1010413,72.8393567
,"poddar wadi, Shop no 3, shubh laxmi building, Shahaji Raje Marg, Vile Parle East, Mumbai, Maharashtra 400057",,098213 45751,,,19.1010413,72.8393567
,"Parshiwada, Kajuwadi, Chakala, Andheri East, Mumbai, Maharashtra 400099",,,,,19.1010413,72.8393567
,"Swami Vivekananda Rd, BEST Colony, Santacruz West, Mumbai, Maharashtra 400054",,098704 11486,,,19.0898462,72.8183694
,"Office :87, Marol Pipeline Rd, opp. mukund hospital, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400059",,,,,19.1056966,72.8499461
,"Sakhi NX fancy fabrics, Kamdhenu Shopping Center, 86 B, Swami Samarth Nagar, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400047",,093241 15151,,,19.1418539,72.8067456
,"4RXQ+JGW Munaf Compound, Relief Road, opposite HK Collage, Oshiwara, Jogeshwari West, Mumbai, Maharashtra 400102",youtube.com,078689 78628,,,19.1491167,72.8207657
,"no 3, Arun Society, Vikas Singh, 7th Rd, near Bank Of Baroda, Santacruz East, Mumbai, Maharashtra 400055",,,,,19.0792203,72.8247899
,"Shop No-44, Laxmi Plaza, Off Link Rd, Laxmi Industrial Estate, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053",,097733 11313,,,19.1360545,72.8112754
,"8, 90 Feet Road Ashtavinayak CHS Krishna Nagar Ashok Nagar Andheri East, Saki Naka, Mumbai, Maharashtra 400072",,072080 20841,,,19.0971849,72.8695687
,"3, Behram Baug Rd, Behram Baug, Jogeshwari West, Mumbai, Maharashtra 400102",,096998 83296,,,19.1444802,72.8236615
,"Office no 202 2nd floor, Kamdhenu 2, opposite Food in Hotel, Swami Samarth Nagar, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053",facebook.com,,,,19.1415024,72.8071218
,"Shop No.3, Hilton Building, 6, Lokhandwala Complex Rd, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",jbsproperty.in,098920 55775,,,19.1415024,72.8071218
,"A/3 Saubhagya Building, Jeevan Vikas Kendra Marg, Koldongri, Andheri East, Mumbai, Maharashtra",stonebridge.asia,085300 66099,,,19.1109729,72.8305762
,"Shop no 3, 3A, Ozone Heights, Patel Estate Rd, opposite Iris Park Condominiums, opposite Amboli Police Station, B R Nagar, Jogeshwari West, Mumbai, Maharashtra 400102",westernproperty.in,097691 39678,,,19.1421227,72.8306736
,"C Wing, Hind Saurashtra Industria Estate, Annex, Marol, Andheri East, Mumbai, Maharashtra 400059",,,,,19.1158788,72.8551609
,"Gundavali, Andheri East, Mumbai, Maharashtra 400059",,073809 92006,,,19.1163326,72.8382943
,"Metro Station, Unit No. 110A, 1st Floor, Bharat Plaza Andheri Kurla Road, JB nagar/Chakala, Andheri East, Mumbai, Maharashtra 400059",addressa.in,098202 09809,,,19.1114416,72.8507005
,"Shop No 3,Dharkrupa Society, Old Nagardas Rd, Andheri East, Mumbai, Maharashtra 400069",,093245 30870,,,19.123279,72.8331626
,"B/56, 1st Floor Tirupati Shopping Center, Swami Vivekananda Rd, Santacruz West, Mumbai, Maharashtra 400054",,,,,19.0801358,72.8200465
,,,099300 29294,,,19.0822507,72.8631618
,"Shop No 4,Bldg No 7, Arunodaya chs, opp. Vivek College Road, Siddharth Nagar, Goregaon West, Mumbai, Maharashtra 400104",,096190 22108,,,19.1601547,72.8254812
,"Tharu House, 769/1, 4th Rd, Khar, Junction, Khar West, Mumbai, Maharashtra 400052",dreams2realty.co.in,098200 86943,,,19.0681742,72.820743
